,Observer,angleSeq,fstFrameN,percentS
0,lj1308c.xlsx,10,43,0.0
1,lj1308c.xlsx,10,51,0.0
2,lj1308c.xlsx,10,59,0.2
3,lj1308c.xlsx,10,67,0.2
4,lj1308c.xlsx,10,75,0.6
5,lj1308c.xlsx,20,43,0.0
6,lj1308c.xlsx,20,51,0.3
7,lj1308c.xlsx,20,59,0.4
8,lj1308c.xlsx,20,67,0.2
9,lj1308c.xlsx,20,75,0.7
10,lj1308c.xlsx,40,43,0.0
11,lj1308c.xlsx,40,51,0.3
12,lj1308c.xlsx,40,59,0.5
13,lj1308c.xlsx,40,67,0.7
14,lj1308c.xlsx,40,75,1.0
15,lj1308c.xlsx,80,43,0.3
16,lj1308c.xlsx,80,51,0.8
17,lj1308c.xlsx,80,59,0.8
18,lj1308c.xlsx,80,67,0.8
19,lj1308c.xlsx,80,75,1.0
