,Observer,angleSeq,fstFrameN,percentS
0,lj1308d.xlsx,10,43,0.0
1,lj1308d.xlsx,10,51,0.1
2,lj1308d.xlsx,10,59,0.1
3,lj1308d.xlsx,10,67,0.3
4,lj1308d.xlsx,10,75,0.3
5,lj1308d.xlsx,20,43,0.0
6,lj1308d.xlsx,20,51,0.0
7,lj1308d.xlsx,20,59,0.3
8,lj1308d.xlsx,20,67,0.5
9,lj1308d.xlsx,20,75,0.9
10,lj1308d.xlsx,40,43,0.1
11,lj1308d.xlsx,40,51,0.3
12,lj1308d.xlsx,40,59,0.4
13,lj1308d.xlsx,40,67,0.8
14,lj1308d.xlsx,40,75,0.9
15,lj1308d.xlsx,80,43,0.2
16,lj1308d.xlsx,80,51,0.5
17,lj1308d.xlsx,80,59,0.9
18,lj1308d.xlsx,80,67,0.9
19,lj1308d.xlsx,80,75,0.9
